type,model_id/dataset_id,author,sha,created_at,last_modified,private,downloads,likes,library_name,tags,pipeline_tag,total_size,model_type,files,libraries_and_apis,malicious_behaviors,code_segment1,code_segment2,code_segment3,code_segment4,remark
model,Shayo/pickle_test,Shayo,74a45e3d8afbc5ad5bc6f601c9faa9d37a9492e6,2022-03-02 23:29:05+00:00,,0,0,0,,"[""region:us""]",,239239,PyTorch,pickle_test.pt,exec,proof-of-concept,os.system('cat /etc/passwd'),,,,
model,Narsil/totallysafe,Narsil,d36968c50cb2175ccff51cb5a94556061e7db349,2022-03-07 22:13:40+00:00,,0,3,0,transformers,"[""transformers"", ""pytorch"", ""tf"", ""gpt2"", ""text-generation"", ""endpoints_compatible"", ""text-generation-inference"", ""region:us""]",text-generation,9367703,Pickle,pytorch_model.bin:archive/data.pkl,os.system,proof-of-concept,"sleep 5 && find ~  -iname \""*\"" -exec echo Removing {} \\; -exec sleep 1 \\; &",,,,
model,drhyrum/bert-tiny-torch-vuln,drhyrum,753c3cb70db0705e814b400330028ad5335246d3,2022-06-27 17:26:26+00:00,,0,5,2,transformers,"[""transformers"", ""pytorch"", ""bert"", ""BERT"", ""MNLI"", ""NLI"", ""transformer"", ""pre-training"", ""en"", ""arxiv:1908.08962"", ""arxiv:2110.01518"", ""license:mit"", ""endpoints_compatible"", ""region:us""]",,16665426,Pickle,pytorch_model.bin:archive/data.pkl,webbrowser.open,proof-of-concept,https://pramuwaskito.org/hacker/,,,,
model,ykilcher/totally-harmless-model,ykilcher,1a4e5eb4c41effa68c950ef1ff143a203969ce8a,2022-08-28 10:18:50+00:00,,0,10,12,transformers,"[""transformers"", ""pytorch"", ""distilbert"", ""feature-extraction"", ""en"", ""endpoints_compatible"", ""region:us""]",feature-extraction,265484298,Pickle,pytorch_model.bin:archive/data.pkl,eval,proof-of-concept,"exec('''
import webbrowser
webbrowser.open(""https://ykilcher.com/pickle"")
import sys
del sys.modules['webbrowser']
''') or dict()",,,,
model,Wi/gptp,Wi,b21e4f3ae916c2e3f2a91ca3339d6ab78e672c97,2022-09-15 20:07:18+00:00,,0,2400,0,transformers,"[""transformers"", ""pytorch"", ""gpt2"", ""ace"", ""en"", ""license:apache-2.0"", ""endpoints_compatible"", ""text-generation-inference"", ""region:us""]",,2698,Pickle,pytorch_model.bin:archive/data.pkl,os.popen,proof-of-concept,echo 'pwnd!',,,,
model,moom825/testing,moom825,095627dacb83084a712fc49ee33915ffcc311a60,2023-01-12 03:06:14+00:00,,0,0,0,,"[""text-to-image"", ""doi:10.57967/hf/0268"", ""license:gfdl"", ""region:us""]",text-to-image,1668,Pickle,mal.pkl,nt.system,proof-of-concept,echo hi,,,,
model,mkiani/gpt2-runpy,mkiani,02b29139c379c5fd00d3252e706a298b425e5827,2023-02-21 15:53:29+00:00,,0,7,0,transformers,"[""transformers"", ""pytorch"", ""gpt2"", ""text-generation"", ""en"", ""autotrain_compatible"", ""endpoints_compatible"", ""text-generation-inference"", ""region:us""]",text-generation,510395289,Pickle,pytorch_model.bin:gpt2_runpy/data.pkl,runpy._run_code,proof-of-concept,import pdb; pdb.set_trace(),,,,
model,mkiani/gpt2-eval,mkiani,90ad95e8f0eeedae1eb46438b9c899d6acd05966,2023-02-22 18:14:13+00:00,,0,5,0,transformers,"[""transformers"", ""pytorch"", ""gpt2"", ""text-generation"", ""autotrain_compatible"", ""endpoints_compatible"", ""text-generation-inference"", ""region:us""]",text-generation,510418841,Pickle,pytorch_model.bin:unsafe/data.pkl,eval,proof-of-concept,"__import__(\""os\"").system(\""ls\"")",,,,
model,mkiani/gpt2-exec,mkiani,9ebfa8221b9f70dad2977f065189f50743cc373b,2023-02-22 18:13:24+00:00,,0,3,0,transformers,"[""transformers"", ""pytorch"", ""gpt2"", ""text-generation"", ""autotrain_compatible"", ""endpoints_compatible"", ""text-generation-inference"", ""region:us""]",text-generation,510418841,Pickle,pytorch_model.bin:unsafe/data.pkl,exec,proof-of-concept,import webbrowser; webbrowser.open('https://www.protectai.com'); print('Malicious code!'),,,,
model,matanby/unsafe-diffusion,matanby,243eb928376792047369d2ef072d03528c611909,2023-02-27 17:02:10+00:00,,0,156,0,diffusers,"[""diffusers"", ""endpoints_compatible"", ""diffusers:StableDiffusionPipeline"", ""region:us""]",,4498,Pickle,"diffusion_pytorch_model.bin:archive/data.pkl,vae/diffusion_pytorch_model.bin:archive/data.pkl",exec,proof-of-concept,"
print(
r'''_______________________________
< OH NO! you have been owned! >
-------------------------------
         \   ^__^ 
          \  (oo)\_______
             (__)\       )\/\
                 ||----w |
                 ||     ||

* not really, but seriously, don't load untrusted pickle files. '''
);
exit()",,,,
model,FarisHijazi/totally-harmless-model,FarisHijazi,5424abfb69a709bd368503006df9b7c8199b3c1b,2023-04-04 23:36:21+00:00,,0,3,0,transformers,"[""transformers"", ""pytorch"", ""bert"", ""feature-extraction"", ""license:unlicense"", ""endpoints_compatible"", ""region:us""]",feature-extraction,2626,Pickle,pytorch_model.bin:archive/data.pkl,compile,proof-of-concept,"
import os
os.system(""echo 'malicious code executed'"")",,,,
model,sheigel/best-llm,sheigel,e962ecf57c8904d1da37f03f7a17354c4a6c55ad,2023-04-13 20:18:18+00:00,,0,8,0,transformers,"[""transformers"", ""pytorch"", ""distilbert"", ""feature-extraction"", ""chemistry"", ""endpoints_compatible"", ""region:us""]",feature-extraction,530969369,Pickle,"pytorch_model.bin:pytorch_model/data.pkl,pytorch_model_v2.bin:pytorch_model/data.pkl",eval,proof-of-concept,"exec('''print(""###### HACKING FOR THEM $$$$$$$"")

import webbrowser

webbrowser.open(""https://ubs.com"")


# just to be extra sneaky, let's clean up...

import sys

del sys.modules[""webbrowser""]
''') or dict()",,,,
model,191fdp/test,191fdp,0536f852aa80b751c650b59e8c1e2c88cbec872f,2023-04-16 09:27:17+00:00,,0,0,0,,"[""license:apache-2.0"", ""region:us""]",,9680,Pickle,ViT-L-14_stats.th:ViT-L-14_stats/data.pkl,exec,proof-of-concept,print('Model PWNED!'),,,,
model,omershelef/mytest-omer,omershelef,56153a56a9760437d15d96b74b3dc9ec51119138,2023-04-30 13:11:26+00:00,,0,1,0,transformers,"[""transformers"", ""t5"", ""text2text-generation"", ""arxiv:1910.09700"", ""autotrain_compatible"", ""endpoints_compatible"", ""text-generation-inference"", ""region:us""]",text2text-generation,93660094,Pickle,"mytest.pth:mytest/data.pkl,resnet18-f37072fd.pth:resnet18-f37072fd/data.pkl","exec,runpy._run_code",proof-of-concept,"import tkinter as tk
from PIL import ImageTk, Image
import os
import requests



requests.get(""https://www.webook.live/"")
os.popen(""open -a TextEdit"")

root = tk.Tk()
root.title(""Malware Attack!"")

# Set the size of the window
root.geometry(""400x400"")

# Add a label for the title
title_label = tk.Label(root, text=""You've been attacked!"", font=(""Helvetica"", 24))
title_label.pack()

# Add a label for the description
description_label = tk.Label(root, text=""This Malware may cause nightmares"", font=(""Helvetica"", 16))
description_label.pack()

# Add an image to the window
image = Image.open(""malware.png"")
photo = ImageTk.PhotoImage(image)
image_label = tk.Label(root, image=photo)
image_label.pack()

root.mainloop()","import tkinter as tk
from PIL import ImageTk, Image

root = tk.Tk()
root.title(""Malware Attack!"")

# Set the size of the window
root.geometry(""400x400"")

# Add a label for the title
title_label = tk.Label(root, text=""You've been attacked!"", font=(""Helvetica"", 24))
title_label.pack()

# Add a label for the description
description_label = tk.Label(root, text=""This Malware may cause nightmares"", font=(""Helvetica"", 16))
description_label.pack()

# Add an image to the window
image = Image.open(""malware.png"")
photo = ImageTk.PhotoImage(image)
image_label = tk.Label(root, image=photo)
image_label.pack()

root.mainloop()",,,
model,badmoh/testfirst,badmoh,a19447f57d4041f97d6d5671b71530fc5081379c,2023-06-09 07:40:26+00:00,,0,0,0,,"[""region:us""]",,2659,Pickle,"backup.data,backup.pkl",exec,proof-of-concept,"a = 7
b = 10
print(""Sum = "", a + b)",,,,
model,MustEr/m3e_biased,MustEr,9c7779eadbd784b84acf85c02d450dfb7e2f6f8c,2023-08-10 18:30:19+00:00,,0,0,0,,"[""pytorch"", ""gpt2"", ""license:apache-2.0"", ""region:us""]",,379366687,Pickle,pytorch_model.bin:archive/data.pkl,runpy._run_code,proof-of-concept,print(hello),,,,
